user_id,statuses_count,followers_count,friends_count,listed_count,favourites_count,favorite_count,retweet_count,days,posts_number_all,posts_number,text_length,reply_ratio,time,positive_words_count,negative_words_count,positive_emoji_count,negative_emoji_count,vad,antidepressant_words_count,depression_symptoms_count,lda
822599120,3158,344,583,4,4889,8,38490,3,8,3,14,0.75,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.125, 0.0, 0.0, 0.0]",4,3,0,0,"[7.82, 6.64, 6.91]",0,"[1, 0, 0, 0, 0.5, 0, 0, 0, 0]","[0.03383333333333348, 0.008833333333334432, 0.07550000000000127, 0.06091666666666262, 0.008833333333334432, 0.008833333333334432, 0.008833333333334432, 0.21716666666668272, 0.040083333333344025, 0.033833333333335346, 0.008833333333334432, 0.040083333333320786, 0.008833333333334432, 0.008833333333334432, 0.008833333333334432, 0.07549999999999854, 0.06508333333334174, 0.008833333333334432, 0.008833333333334432, 0.033833333333321516, 0.008833333333334432, 0.09216666666665818, 0.008833333333334432, 0.03383333333333397, 0.09216666666665256]"
24001597,16424,389,1028,8,46,1,0,2,2,1,10,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0,0,0,"[3.75, 1.8, 3.44]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.1783333333333384, 0.01166666666666691, 0.261666666666672, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.17833333333332504, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.13666666666665936, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691, 0.01166666666666691]"
248662414,4609,285,247,3,2602,13,101276,4,18,4,13,0.5,"[0.0, 0.167, 0.056, 0.0, 0.0, 0.056, 0.056, 0.056, 0.111, 0.0, 0.111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056, 0.111, 0.0, 0.0, 0.0]",10,6,0,0,"[4.13, 3.33, 3.78]",0,"[0, 0, 0, 0, 0, 0, 1.7, 0.5, 0]","[0.009798941798942572, 0.03202116402116499, 0.06257671957671385, 0.05146560846561102, 0.0394285714285722, 0.060724867724867945, 0.009798941798942572, 0.2247460317460495, 0.009798941798942572, 0.014428571428559356, 0.03479894179894288, 0.0422063492063591, 0.036650793650789854, 0.020910052910052556, 0.028317460317463294, 0.009798941798942572, 0.03479894179894016, 0.025539682539669414, 0.08572486772487214, 0.03162433862434247, 0.009798941798942572, 0.02368783068783062, 0.04551322751322646, 0.02884656084654652, 0.0269947089947127]"
2717428366,745,74,583,1,1161,2,8,1,7,7,16,0.14285714285714285,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.429, 0.429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,2,0,0,"[3.01, 3.47, 3.21]",0,"[0, 0, 0, 0, 0.5, 0, 0, 0, 0]","[0.03876190476189267, 0.050666666666672446, 0.014952380952382296, 0.08638095238095242, 0.05066666666668318, 0.10304761904763812, 0.014952380952382296, 0.03876190476185792, 0.014952380952382296, 0.014952380952382296, 0.03876190476191673, 0.014952380952382296, 0.014952380952382296, 0.014952380952382296, 0.014952380952382296, 0.04352380952380656, 0.050666666666678295, 0.014952380952382296, 0.07447619047620939, 0.014952380952382296, 0.050666666666667644, 0.050666666666656375, 0.07209523809524543, 0.014952380952382296, 0.08638095238091752]"
944353922,8250,277,68,4,4787,1,34197,3,17,6,13,0.47058823529411764,"[0.0, 0.0, 0.0, 0.118, 0.294, 0.0, 0.059, 0.176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.118, 0.0, 0.059, 0.0, 0.0, 0.0]",5,1,0,0,"[4.71, 3.14, 3.96]",0,"[0, 0, 0, 0, 0.5, 0, 0, 0, 0]","[0.0315452847805327, 0.07697012138187898, 0.04664799253035018, 0.011774042950514547, 0.03742763772176888, 0.011774042950514547, 0.02647992530345497, 0.19165266106445422, 0.05066293183940077, 0.011774042950514547, 0.019126984126977758, 0.053440709617168014, 0.03383286647991873, 0.011774042950514547, 0.050989729225023275, 0.026479925303457802, 0.0191269841269886, 0.05236694677873581, 0.028930905695604466, 0.08987861811393077, 0.031381886087769324, 0.027530345471510304, 0.01912698412698887, 0.02017740429504543, 0.019126984126981952]"
294437559,12236,153,122,4,4704,2,3,3,6,2,10,0.5,"[0.0, 0.333, 0.167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,1,0,0,"[3.51, 2.58, 2.83]",0,"[0.1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.02117460317460362, 0.02117460317460362, 0.02117460317460362, 0.02117460317460362, 0.02117460317460362, 0.02117460317460362, 0.04498412698413228, 0.24657142857144124, 0.02117460317460362, 0.02117460317460362, 0.02117460317460362, 0.02117460317460362, 0.04498412698412365, 0.02117460317460362, 0.02117460317460362, 0.02117460317460362, 0.07831746031746946, 0.02117460317460362, 0.02117460317460362, 0.02117460317460362, 0.02117460317460362, 0.161650793650761, 0.02117460317460362, 0.02117460317460362, 0.02117460317460362]"
364095622,42083,557,232,3,13857,37,14541,3,66,22,8,0.2727272727272727,"[0.03, 0.091, 0.136, 0.03, 0.076, 0.03, 0.015, 0.0, 0.03, 0.015, 0.182, 0.0, 0.045, 0.0, 0.0, 0.045, 0.106, 0.121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19,13,4,0,"[1.86, 1.67, 1.61]",0,"[3, 0, 0, 0.5, 0.5, 0.5, 0, 0, 0]","[0.043291748655387784, 0.017858848222485433, 0.095138134592678, 0.026697232060866972, 0.03856591892955674, 0.04942450478814105, 0.02669723206086944, 0.042606322969961634, 0.02543460579824286, 0.039828545192179, 0.02391945428309013, 0.05473409418863307, 0.030485110848748276, 0.02226656172110828, 0.02566417420963129, 0.05371743408106753, 0.049677030040664726, 0.03780834317197831, 0.030990161353800186, 0.038060868424505144, 0.02605444050899015, 0.03780834317197963, 0.037057326511867564, 0.07010861865407554, 0.05610494555949127]"
176882629,201079,4967,723,62,10672,584,23530,2,209,104,9,0.6267942583732058,"[0.019, 0.191, 0.0, 0.029, 0.086, 0.12, 0.0, 0.139, 0.072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048, 0.287]",85,71,3,0,"[2.77, 2.79, 2.65]",0,"[3.7, 1, 0.5, 0, 2.0, 0.5, 1.5, 1.5, 7]","[0.024369047619047846, 0.03222161172161213, 0.043416666666664216, 0.028695970695969818, 0.034224816849817014, 0.02997802197802265, 0.03430494505494465, 0.29897985347985584, 0.01819917582417664, 0.03158058608058684, 0.03736126373626407, 0.020728937728937604, 0.034304945054943664, 0.03158058608058395, 0.017397893772894104, 0.01952701465201462, 0.024254578754581264, 0.0331831501831516, 0.03366391941391877, 0.020969322344323207, 0.024849816849816662, 0.02621199633699669, 0.03370970695970744, 0.036468406593405105, 0.02981776556776415]"
1161783374,10946,180,163,10,1319,20,9442,3,71,24,11,0.15492957746478872,"[0.07, 0.056, 0.169, 0.042, 0.211, 0.211, 0.014, 0.014, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014, 0.0, 0.0, 0.0, 0.0, 0.014, 0.056, 0.042, 0.0, 0.028]",29,20,0,0,"[4.05, 3.35, 3.53]",0,"[2, 1, 0, 0, 0, 0, 0, 0.5, 0]","[0.04383724569640695, 0.050292644757445396, 0.04820232506147665, 0.038695282807961036, 0.026818466353680036, 0.02257634697071421, 0.02492376481108989, 0.11144287949919128, 0.04201520232506367, 0.020228929130338406, 0.05292510619271355, 0.031183545718758376, 0.03444757433489931, 0.034782919740664726, 0.03620813771518172, 0.03916476637603446, 0.03924301363738021, 0.030730829420965545, 0.040684998882176825, 0.034313436172591735, 0.03151330203443241, 0.042546165884194596, 0.040886206125642054, 0.04735837245696578, 0.03497853789403137]"
58581939,167354,9851,6558,97,370,56,218933,4,208,52,12,0.5625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.038, 0.038, 0.096, 0.043, 0.062, 0.082, 0.053, 0.091, 0.062, 0.058, 0.038, 0.019, 0.106, 0.024, 0.014, 0.024, 0.106, 0.024, 0.0]",97,44,3,0,"[3.6, 3.02, 3.16]",0,"[2.4, 0, 1, 0, 1.5, 0.5, 0.6, 3.0, 0]","[0.03113487160088908, 0.041685243559027016, 0.04841971728378821, 0.027594089297973034, 0.02897754941930322, 0.029845977108115342, 0.027164516174226112, 0.30243035066335133, 0.020104491517114947, 0.0420957284355346, 0.02826673111139332, 0.02294776474873673, 0.04451135488028975, 0.027520888496618365, 0.027962194763166828, 0.023947533588310643, 0.023853143081298447, 0.021512643774780515, 0.02407467182224694, 0.023801307107131485, 0.019672992056488724, 0.026027977416325128, 0.03866667367152751, 0.02001990781602341, 0.02776168060633963]"
