user_id,statuses_count,followers_count,friends_count,listed_count,favourites_count,favorite_count,retweet_count,days,posts_number_all,posts_number,text_length,reply_ratio,time,positive_words_count,negative_words_count,positive_emoji_count,negative_emoji_count,vad,antidepressant_words_count,depression_symptoms_count,lda
822599120,3158,344,583,4,4889,64,437342,26,73,3,13,0.7534246575342466,"[0.055, 0.068, 0.027, 0.014, 0.082, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.082, 0.041, 0.055, 0.027, 0.014, 0.014, 0.014, 0.014, 0.0, 0.041, 0.082]",32,31,2,0,"[4.25, 3.39, 3.66]",0,"[9.1, 0, 1, 0, 2.5, 1.0, 0, 0.5, 0]","[0.08246336160034368, 0.04088367036312194, 0.02297760382692158, 0.021721896064362135, 0.020411828658402933, 0.029881278538809633, 0.027543813872581077, 0.23539334637964812, 0.03408871493802985, 0.023548380082628446, 0.04049771689497831, 0.042057838660581555, 0.020368340943683606, 0.043541856925421785, 0.022211132854968195, 0.03272972385300941, 0.02039008480104104, 0.03406697108066975, 0.01930832789736815, 0.0522991954772812, 0.027543813872580498, 0.018737551641661007, 0.047423135464232415, 0.016834964122634848, 0.023075451185038755]"
24001597,16424,389,1028,8,46,3,0,7,16,2,12,0.0,"[0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.062, 0.0, 0.188, 0.0]",7,1,0,0,"[3.5, 2.62, 2.84]",0,"[0, 0, 0, 0, 0.5, 0, 0, 0, 0]","[0.047791666666668585, 0.07279166666665561, 0.011333333333334023, 0.011333333333334023, 0.03425000000000028, 0.1102916666666591, 0.011333333333334023, 0.2405000000000103, 0.03737500000000181, 0.026958333333328546, 0.011333333333334023, 0.05299999999999623, 0.03216666666666716, 0.011333333333334023, 0.011333333333334023, 0.011333333333334023, 0.011333333333334023, 0.011333333333334023, 0.0582083333333336, 0.011333333333334023, 0.03216666666666781, 0.026958333333333993, 0.05508333333333461, 0.03216666666666816, 0.026958333333333945]"
248662414,4609,285,247,3,2602,120,768565,28,180,6,11,0.35,"[0.028, 0.033, 0.056, 0.039, 0.028, 0.017, 0.072, 0.106, 0.072, 0.044, 0.078, 0.061, 0.0, 0.0, 0.006, 0.0, 0.006, 0.017, 0.011, 0.056, 0.039, 0.017, 0.028, 0.033]",74,53,0,0,"[3.52, 3.07, 3.16]",0,"[4.1, 2, 0, 0, 0.5, 1.0, 2.5, 1.5, 0]","[0.06846483993969284, 0.023743282787975842, 0.03563696018444682, 0.0364084419615135, 0.036718808193666186, 0.030025982087434715, 0.028851024208566497, 0.1852556530992352, 0.0328170612751621, 0.03589412077680451, 0.03533767846058462, 0.0411902988383438, 0.026104283054003672, 0.020309302119358025, 0.03438441074753959, 0.030309745499686725, 0.02756078744346834, 0.04072253258845368, 0.031225325884543603, 0.037151104017026586, 0.027935443823713057, 0.02900399042298787, 0.04229653276580588, 0.031597765363128076, 0.031054624456858373]"
2717428366,745,74,583,1,1161,14,16880,15,65,4,14,0.4307692307692308,"[0.0, 0.046, 0.0, 0.031, 0.092, 0.138, 0.231, 0.077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.077, 0.077, 0.0]",38,11,0,0,"[4.72, 3.88, 4.01]",0,"[1, 0, 0, 0, 1.0, 1.0, 0, 1.0, 0]","[0.1121721611721443, 0.039705738705741116, 0.02722710622710702, 0.03188522588522601, 0.04432112332112183, 0.03361294261294189, 0.024406593406593763, 0.12951037851038608, 0.04773992673992079, 0.03444932844932996, 0.02013308913309125, 0.03912576312576388, 0.03664713064713055, 0.04778266178266229, 0.016134310134311703, 0.04214163614163711, 0.022178266178268576, 0.020133089133089404, 0.043252747252750766, 0.03513308913308919, 0.019705738705739474, 0.03124420024419869, 0.045133089133091414, 0.018698412698415025, 0.03752625152624807]"
944353922,8250,277,68,4,4787,10,119590,27,161,6,14,0.37888198757763975,"[0.043, 0.043, 0.031, 0.155, 0.118, 0.155, 0.019, 0.05, 0.006, 0.0, 0.0, 0.0, 0.0, 0.006, 0.006, 0.037, 0.043, 0.031, 0.031, 0.006, 0.012, 0.006, 0.025, 0.006]",95,60,0,0,"[4.8, 4.31, 4.39]",0,"[3.3, 5, 0, 0, 4.0, 3.5, 1.1, 5.0, 0]","[0.09746617063491403, 0.0439542658730142, 0.048363988095240215, 0.05171716269841385, 0.03174444444444371, 0.033629365079365585, 0.03167003968253893, 0.08924692460317801, 0.019006349206349946, 0.05637242063492196, 0.031198809523810128, 0.03927420634920675, 0.02305892857142814, 0.034296527777777044, 0.04723303571428554, 0.026134325396823754, 0.03146170634920909, 0.029725595238095464, 0.04003809523809575, 0.02790267857142778, 0.043780654761906686, 0.02512738095238149, 0.03231984126983812, 0.029514781746031858, 0.035762301587302]"
294437559,12236,153,122,4,4704,87,24563,23,60,3,11,0.16666666666666666,"[0.05, 0.1, 0.017, 0.0, 0.0, 0.05, 0.0, 0.017, 0.017, 0.0, 0.033, 0.017, 0.05, 0.167, 0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.083]",22,13,1,0,"[4.25, 3.28, 3.74]",0,"[0.2, 1, 1, 0, 0, 0, 0, 1.0, 0]","[0.09368677248676559, 0.03368677248677327, 0.03229788359788301, 0.026901058201059112, 0.02317089947089994, 0.04231772486772189, 0.023964550264550077, 0.11654391534391949, 0.04495661375661551, 0.027436772486774102, 0.030770105820105944, 0.05313121693121825, 0.023825661375662482, 0.031927513227513096, 0.027297883597884546, 0.058289947089943964, 0.023964550264550955, 0.032992328042327865, 0.05868677248677141, 0.04294603174603098, 0.03785343915343835, 0.023964550264551267, 0.0360015873015881, 0.02495661375661452, 0.028428835978836327]"
364095622,42083,557,232,3,13857,229,523560,30,660,22,9,0.2878787878787879,"[0.014, 0.03, 0.083, 0.048, 0.058, 0.035, 0.047, 0.068, 0.042, 0.029, 0.085, 0.053, 0.061, 0.067, 0.073, 0.083, 0.045, 0.033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",198,165,11,0,"[2.05, 1.82, 1.82]",0,"[10.9, 4, 3, 1.0, 7.0, 5.5, 1.9, 4.0, 0]","[0.0883259496262512, 0.03410846995145843, 0.03397962268084276, 0.027424744632061442, 0.029846831352929308, 0.03400926360225134, 0.02322843704398646, 0.08478146311682491, 0.05383480560767012, 0.04354084397986841, 0.03268207622323596, 0.047956131436314685, 0.02691298505018094, 0.035220911879448896, 0.031562189165848, 0.04436595044521851, 0.04324192203460553, 0.039405028068138705, 0.034606828300425135, 0.036652144941778125, 0.043971032862802184, 0.02799397130647154, 0.03454219527085395, 0.030964717531791357, 0.03684148388874056]"
176882629,201079,4967,723,62,10672,14008,680356,11,2081,189,10,0.5814512253724171,"[0.06, 0.055, 0.024, 0.049, 0.031, 0.019, 0.019, 0.02, 0.035, 0.015, 0.009, 0.03, 0.011, 0.07, 0.073, 0.057, 0.044, 0.077, 0.03, 0.051, 0.033, 0.037, 0.075, 0.072]",826,632,8,0,"[3.05, 2.75, 2.75]",0,"[31.6, 18.0, 11.5, 0, 27.0, 9.0, 16.9, 15.5, 12]","[0.06072795967135211, 0.03631845931846077, 0.03256829613433452, 0.024669992481313182, 0.02935723396100813, 0.03007814128568913, 0.021924275584653288, 0.240892606345433, 0.028538224179734308, 0.03410145898825274, 0.03579455973795666, 0.031636453693058085, 0.02967958805694672, 0.029520784596256594, 0.03087137321099645, 0.03523453276283413, 0.02885230562589057, 0.028701600286506066, 0.027810039017587353, 0.031055867263415124, 0.03275835764515094, 0.030045277573580272, 0.0324425483670765, 0.026777947419456934, 0.029642116793060738]"
1161783374,10946,180,163,10,1319,324,321236,31,705,23,11,0.17588652482269504,"[0.043, 0.057, 0.102, 0.079, 0.109, 0.126, 0.057, 0.017, 0.003, 0.0, 0.0, 0.004, 0.001, 0.001, 0.016, 0.028, 0.035, 0.021, 0.031, 0.045, 0.061, 0.06, 0.027, 0.031]",268,211,3,0,"[3.41, 2.87, 2.96]",0,"[19.3, 5.5, 2.0, 1.0, 4.0, 2.0, 4.2, 10.0, 0]","[0.0870864353589013, 0.03636080182299943, 0.03360906394287319, 0.030178024384871473, 0.03226574487487485, 0.04010771666121139, 0.03110196175674176, 0.10130301605193882, 0.036474584854044076, 0.044237957952650585, 0.029303510564566298, 0.04356431712209248, 0.02890442082881485, 0.04352186076722608, 0.036389759234267016, 0.031429158731583896, 0.038288407423928666, 0.028896495642573242, 0.03444963247245827, 0.037806669317368244, 0.03635862457403299, 0.03863428519491111, 0.03808631517476112, 0.03450752750181993, 0.0271337077884872]"
58581939,167354,9851,6558,97,370,419,1217526,31,2079,67,12,0.5584415584415584,"[0.006, 0.006, 0.008, 0.005, 0.015, 0.06, 0.065, 0.058, 0.062, 0.043, 0.051, 0.039, 0.059, 0.068, 0.051, 0.045, 0.051, 0.064, 0.064, 0.052, 0.052, 0.033, 0.009, 0.018]",825,499,11,0,"[3.21, 2.7, 2.83]",0,"[28.9, 6, 8, 3.0, 20.0, 10.0, 9.1, 25.5, 0]","[0.0564342030837575, 0.033154555610568966, 0.026793870840792586, 0.023083960679268465, 0.02451842824276898, 0.030836214399264702, 0.022760748809137726, 0.30147935153799954, 0.031706123516973925, 0.026432944160216798, 0.03185197527572986, 0.0332069578623835, 0.028221532459069623, 0.029078058902106175, 0.026712622665702224, 0.024633829567847057, 0.023144826282656315, 0.023933663545101434, 0.027036504551167632, 0.02602820200327537, 0.031809834837695276, 0.028139684796576504, 0.03518002959351919, 0.02300757893133288, 0.03081429784508929]"
