user_id,statuses_count,followers_count,friends_count,listed_count,favourites_count,favorite_count,retweet_count,days,posts_number_all,posts_number,text_length,reply_ratio,time,positive_words_count,negative_words_count,positive_emoji_count,negative_emoji_count,vad,antidepressant_words_count,depression_symptoms_count,lda
2423026075,7817,596,1736,15,7594,1,385,2,5,2,13,0.4,"[0.0, 0.2, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2,2,0,0,"[4.53, 5.43, 4.61]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.016666666666666847, 0.016666666666666847, 0.016666666666666847, 0.016666666666666847, 0.016666666666666847, 0.08333333333332346, 0.016666666666666847, 0.21666666666666706, 0.05000000000000389, 0.016666666666666847, 0.08333333333333286, 0.016666666666666847, 0.016666666666666847, 0.16666666666666546, 0.016666666666666847, 0.016666666666666847, 0.050000000000004055, 0.04999999999999996, 0.016666666666666847, 0.016666666666666847, 0.016666666666666847, 0.016666666666666847, 0.016666666666666847, 0.016666666666666847, 0.016666666666666847]"
121839389,6169,72,164,1,1638,3,17,2,6,3,13,0.16666666666666666,"[0.167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]",9,4,0,0,"[3.14, 2.69, 2.73]",0,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.015777777777778366, 0.24355555555554473, 0.015777777777778366, 0.09911111111111152, 0.015777777777778366, 0.04911111111111347, 0.015777777777778366, 0.13800000000000365, 0.07133333333333337, 0.015777777777778366, 0.015777777777778366, 0.09911111111110427, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366, 0.015777777777778366]"
521751014,1610,172,135,2,721,4,314,3,8,3,14,0.5,"[0.125, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.375, 0.0, 0.0, 0.0, 0.0]",2,7,4,0,"[7.21, 6.46, 6.42]",0,"[0, 0, 0, 0, 0, 0, 0.5, 0, 0]","[0.01216666666666694, 0.01216666666666694, 0.01216666666666694, 0.01216666666666694, 0.04341666666666788, 0.01216666666666694, 0.01216666666666694, 0.01216666666666694, 0.2350833333333257, 0.01216666666666694, 0.01216666666666694, 0.01216666666666694, 0.01216666666666694, 0.07466666666666548, 0.1059166666666661, 0.01216666666666694, 0.04341666666666861, 0.05383333333333242, 0.01216666666666694, 0.09549999999999995, 0.01216666666666694, 0.0996666666666686, 0.01216666666666694, 0.01216666666666694, 0.053833333333334184]"
3138827800,524,495,287,14,327,0,238,2,3,2,19,0.6666666666666666,"[0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1,0,0,"[0.0, 0.0, 0.0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.1709206349206418, 0.07568253968254922, 0.1994920634920626, 0.14234920634918566, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.23123809523809505, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328, 0.00901587301587328]"
2739726394,2729,250,690,3,67005,0,1075,2,3,2,25,0.6666666666666666,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2,4,0,0,"[5.42, 5.12, 5.0]",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.005460317460317744, 0.23879365079365888, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.14831746031745718, 0.005460317460317744, 0.1816507936507807, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.03879365079365511, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.005460317460317744, 0.28323809523809323, 0.005460317460317744, 0.005460317460317744]"
1344064586,477,105,213,3,755,0,0,1,1,1,25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,1,0,0,"[9.44, 9.0, 8.86]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0066666666666672855, 0.1733333333332544, 0.0066666666666672855, 0.34000000000003294, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.17333333333335682, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.1733333333333427, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855, 0.0066666666666672855]"
1283765972,1501,50,268,2,185,0,122,5,14,3,14,0.21428571428571427,"[0.071, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.071, 0.0, 0.0, 0.0, 0.0, 0.071, 0.071, 0.071, 0.0, 0.071, 0.0, 0.071, 0.071, 0.071, 0.0]",11,4,0,0,"[6.29, 5.36, 5.28]",0,"[2, 0, 0, 0, 0, 0, 0.2, 0, 0]","[0.047868480725621686, 0.06215419501132284, 0.012154195011338192, 0.04276643990929559, 0.1621541950113361, 0.04072562358277604, 0.012154195011338192, 0.06907029478458215, 0.02235827664399156, 0.012154195011338192, 0.06929705215419484, 0.026439909297052804, 0.0692970521541952, 0.012154195011338192, 0.012154195011338192, 0.09548752834467109, 0.047868480725624, 0.012154195011338192, 0.02643990929705614, 0.012154195011338192, 0.08437641723355985, 0.012154195011338192, 0.012154195011338192, 0.012154195011338192, 0.012154195011338192]"
66702042,22846,558,623,0,184,1,2281,1,7,7,15,0.2857142857142857,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.429, 0.429, 0.0, 0.0, 0.0]",6,5,0,0,"[3.51, 3.76, 3.51]",0,"[0, 1, 0, 0, 0, 0, 0, 0.5, 0]","[0.06005442176870744, 0.07365986394558302, 0.012435374149660125, 0.06005442176870506, 0.012435374149660125, 0.04100680272108958, 0.06005442176870054, 0.1280816326530622, 0.06005442176871233, 0.012435374149660125, 0.14576870748299145, 0.012435374149660125, 0.012435374149660125, 0.012435374149660125, 0.012435374149660125, 0.012435374149660125, 0.012435374149660125, 0.032843537414965894, 0.012435374149660125, 0.012435374149660125, 0.012435374149660125, 0.08046258503400942, 0.012435374149660125, 0.08386394557823126, 0.012435374149660125]"
471714582,4761,439,189,1,1347,5,1944,4,14,4,11,0.2857142857142857,"[0.0, 0.0, 0.286, 0.071, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.071, 0.0, 0.0, 0.143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.143]",3,6,0,0,"[1.63, 2.16, 1.86]",0,"[1, 0, 1, 0, 1.0, 0, 0, 0, 0]","[0.01628571428571479, 0.01628571428571479, 0.01628571428571479, 0.06390476190476235, 0.03414285714286032, 0.01628571428571479, 0.08771428571428776, 0.06390476190475314, 0.08295238095238311, 0.01628571428571479, 0.0519999999999959, 0.07580952380952224, 0.05200000000000021, 0.01628571428571479, 0.11747619047618849, 0.01628571428571479, 0.01628571428571479, 0.01628571428571479, 0.028190476190482518, 0.01628571428571479, 0.01628571428571479, 0.08176190476190129, 0.030571428571427417, 0.03414285714285773, 0.01628571428571479]"
1911548394,5254,2742,2425,74,387,5,6,3,17,6,17,0.23529411764705882,"[0.118, 0.059, 0.118, 0.059, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059, 0.176, 0.118, 0.0, 0.059, 0.0, 0.0, 0.0, 0.059, 0.0, 0.0, 0.0, 0.0]",12,1,0,0,"[3.68, 2.69, 3.02]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.03652576181987916, 0.01551735845853217, 0.007113997113997709, 0.01246159069688627, 0.007113997113997709, 0.02487989135047904, 0.09481453187334993, 0.3196765979118904, 0.014466938290469187, 0.007113997113997709, 0.1645709192767826, 0.007113997113997709, 0.01691791868263295, 0.007113997113997709, 0.04072744249214797, 0.007113997113997709, 0.007113997113997709, 0.040727442492148755, 0.06397674221204437, 0.007113997113997709, 0.043878702996349855, 0.007113997113997709, 0.03260419319243252, 0.007113997113997709, 0.007113997113997709]"
