user_id,statuses_count,followers_count,friends_count,listed_count,favourites_count,favorite_count,retweet_count,days,posts_number_all,posts_number,text_length,reply_ratio,time,positive_words_count,negative_words_count,positive_emoji_count,negative_emoji_count,vad,antidepressant_words_count,depression_symptoms_count,lda
2423026075,7817,596,1736,15,7594,6,2037,2,41,20,9,0.4146341463414634,"[0.61, 0.049, 0.073, 0.024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171, 0.024, 0.0, 0.0]",8,7,1,0,"[1.96, 2.08, 1.92]",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.017941666666667206, 0.03460833333333339, 0.026275000000001398, 0.04294166666666614, 0.02210833333333307, 0.03460833333333448, 0.030441666666666933, 0.13210833333333596, 0.03773333333333449, 0.05835833333333314, 0.0554416666666667, 0.034608333333334226, 0.026275000000001485, 0.0418999999999973, 0.017941666666667206, 0.033566666666666606, 0.017941666666667206, 0.058774999999998315, 0.04294166666666492, 0.07002499999999653, 0.05627499999999841, 0.017941666666667206, 0.017941666666667206, 0.053358333333333265, 0.017941666666667206]"
121839389,6169,72,164,1,1638,27,44693,18,51,3,13,0.3333333333333333,"[0.216, 0.137, 0.059, 0.039, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039, 0.0, 0.0, 0.02, 0.0, 0.02, 0.059, 0.039]",39,17,0,0,"[4.29, 3.57, 3.8]",0,"[2.1, 1, 0, 0, 1.0, 0, 0.1, 1.0, 0]","[0.012320572673514284, 0.04826828509181594, 0.02702645502645546, 0.04173233737939437, 0.06927668845315617, 0.03342234671646471, 0.03519638966697787, 0.1530457516339872, 0.05573793962029241, 0.04826828509181419, 0.027026455026455717, 0.0358966697790233, 0.05951945222533399, 0.012320572673514284, 0.05270339246809861, 0.02408527855586827, 0.022124494242140903, 0.02352505446623111, 0.03192841581076811, 0.012320572673514284, 0.05190974167444682, 0.022124494242141572, 0.04500031123560525, 0.027026455026455017, 0.02819358854653012]"
521751014,1610,172,135,2,721,45,35255,22,79,4,13,0.25316455696202533,"[0.076, 0.051, 0.076, 0.101, 0.051, 0.038, 0.013, 0.025, 0.063, 0.0, 0.0, 0.0, 0.013, 0.013, 0.013, 0.0, 0.038, 0.0, 0.013, 0.063, 0.013, 0.0, 0.0, 0.063]",29,38,16,0,"[4.89, 4.34, 4.48]",0,"[1.1, 1, 0, 0, 1.0, 1.5, 3.1, 1.0, 0]","[0.20740687160937996, 0.030101265822785744, 0.02280771549126323, 0.031879445449065374, 0.02871488848704145, 0.04812417118746344, 0.04550210970463157, 0.05638215792646189, 0.03462206148282575, 0.029769740807717382, 0.03495358649789251, 0.03843459915612072, 0.025761301989150845, 0.05843158529234533, 0.03136708860759717, 0.02976974080771623, 0.015212778782399908, 0.03163833634719712, 0.031457504520797985, 0.019432188065102277, 0.03145750452079721, 0.02365159734780079, 0.029980711271851205, 0.02628872814948846, 0.03685232067510648]"
3138827800,524,495,287,14,327,7,708,17,28,2,13,0.25,"[0.0, 0.0, 0.036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107, 0.071, 0.036, 0.036, 0.0, 0.036, 0.036, 0.036, 0.0]",10,10,0,0,"[3.18, 2.79, 2.72]",0,"[1.1, 0, 0, 0, 0.5, 0.5, 0, 0.5, 0]","[0.17206689342398732, 0.025893424036282527, 0.00973696145124814, 0.02283219954648404, 0.021641723356009276, 0.03949886621315619, 0.0467267573696134, 0.29686848072564137, 0.0347369614512507, 0.05854648526077337, 0.02901133786848274, 0.039498866213151566, 0.014839002267573495, 0.03091043083901124, 0.00973696145124814, 0.015689342403629132, 0.02164172335600986, 0.014839002267574617, 0.014839002267574604, 0.00973696145124814, 0.03176077097505751, 0.00973696145124814, 0.00973696145124814, 0.00973696145124814, 0.00973696145124814]"
2739726394,2729,250,690,3,67005,2,18253,16,23,1,16,0.6521739130434783,"[0.043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.087, 0.0, 0.0, 0.0, 0.043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13, 0.0, 0.0, 0.0]",13,4,0,0,"[3.02, 2.47, 2.54]",0,"[0, 0, 0, 0, 0, 0.5, 1, 0, 0]","[0.23874189095928045, 0.030477570738440807, 0.008738440303658222, 0.026129744651483756, 0.024128364389232482, 0.022265010351968165, 0.055322291235315686, 0.2373443754313354, 0.030477570738445137, 0.02985645272602005, 0.008738440303658222, 0.023231193926846857, 0.008738440303658222, 0.013086266390614713, 0.02908005521049109, 0.008738440303658222, 0.07992546583850363, 0.008738440303658222, 0.008738440303658222, 0.008738440303658222, 0.017434092477571286, 0.017434092477571855, 0.03772394755003731, 0.01308626639061491, 0.013086266390618826]"
1344064586,477,105,213,3,755,8,174,6,10,2,14,0.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1]",2,4,0,0,"[3.36, 2.58, 2.94]",0,"[1, 0, 0, 0, 0, 0, 0, 0.5, 0]","[0.3815142857142534, 0.01270476190476274, 0.04127619047619502, 0.01270476190476274, 0.01270476190476274, 0.01270476190476274, 0.02937142857142857, 0.1027047619047698, 0.029371428571432035, 0.0793714285714209, 0.01270476190476274, 0.01270476190476274, 0.01270476190476274, 0.01270476190476274, 0.01270476190476274, 0.01270476190476274, 0.01270476190476274, 0.03270476190476619, 0.01270476190476274, 0.01270476190476274, 0.06270476190476379, 0.01270476190476274, 0.03770476190476638, 0.01270476190476274, 0.01270476190476274]"
1283765972,1501,50,268,2,185,4,19144,24,135,6,16,0.362962962962963,"[0.007, 0.015, 0.03, 0.0, 0.007, 0.0, 0.0, 0.015, 0.037, 0.067, 0.022, 0.104, 0.081, 0.163, 0.067, 0.03, 0.007, 0.007, 0.03, 0.007, 0.074, 0.03, 0.007, 0.015]",85,47,0,0,"[3.78, 3.35, 3.31]",0,"[5.2, 0, 0, 0, 1.1, 1.5, 0.8, 2.5, 0]","[0.13193944738387514, 0.02301234567901333, 0.03214814814814997, 0.0351375661375659, 0.01851499118165856, 0.03719811875367536, 0.024582010582011028, 0.0988912404467972, 0.03244209288653751, 0.027589065255732553, 0.01535802469135913, 0.05268018812463106, 0.015234567901235516, 0.01782716049382765, 0.03664550264550358, 0.014576131687243631, 0.05098412698412731, 0.015563786008230876, 0.04002292768959572, 0.07056084656084717, 0.05647795414462283, 0.06131040564374134, 0.0431181657848306, 0.029864197530864642, 0.018320987654322225]"
66702042,22846,558,623,0,184,7,33922,5,66,13,13,0.3787878787878788,"[0.0, 0.121, 0.03, 0.03, 0.015, 0.0, 0.0, 0.061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.076, 0.061, 0.0, 0.379, 0.091, 0.045, 0.015, 0.0, 0.0]",33,24,0,0,"[3.31, 3.1, 3.1]",0,"[2.2, 3, 0, 0, 1.0, 0, 0.1, 1.0, 0]","[0.09422637362637201, 0.053328937728936286, 0.0470652014652018, 0.017175091575091787, 0.02911648351648374, 0.04025201465201595, 0.038457142857142676, 0.06538021978021899, 0.05334725274725281, 0.04027032967033008, 0.03717509157509165, 0.03937289377289403, 0.023713553113553106, 0.026918681318681713, 0.041021245421245876, 0.09486739926739679, 0.02230329670329699, 0.040252014652015666, 0.02730329670329691, 0.02911648351648378, 0.0453802197802207, 0.04345714285714279, 0.014098168498168886, 0.016662271062270088, 0.019739194139194952]"
471714582,4761,439,189,1,1347,40,14607,30,136,5,13,0.3602941176470588,"[0.059, 0.081, 0.103, 0.066, 0.037, 0.022, 0.007, 0.0, 0.0, 0.0, 0.0, 0.007, 0.029, 0.022, 0.022, 0.037, 0.081, 0.051, 0.007, 0.029, 0.015, 0.015, 0.066, 0.022]",70,54,3,0,"[3.98, 3.72, 3.58]",0,"[5.4, 4, 1, 0, 4.5, 0, 1.2, 1.5, 0]","[0.07648704481792169, 0.023160714285714777, 0.08478536414565828, 0.02642577030812343, 0.018626400560224608, 0.05372794117647123, 0.03945973389355784, 0.02714355742296773, 0.04597233893557483, 0.03291211484593892, 0.05612640056022536, 0.03762149859944027, 0.03235189075630266, 0.029043067226891147, 0.02841281512605118, 0.082351890756301, 0.01948424369747958, 0.0420332633053241, 0.026837184873950568, 0.03676365546218302, 0.0530626750700279, 0.02886799719887984, 0.02634698879551858, 0.040195028011204025, 0.031800420168067466]"
1911548394,5254,2742,2425,74,387,48,32,26,163,6,16,0.17177914110429449,"[0.043, 0.018, 0.012, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.049, 0.11, 0.061, 0.006, 0.061, 0.055, 0.025, 0.086, 0.104, 0.055, 0.055, 0.061, 0.031]",92,31,0,0,"[2.95, 2.49, 2.58]",0,"[1, 0, 0, 0.5, 1.5, 0.5, 5.5, 2.0, 0]","[0.10523614451391017, 0.025824301213190376, 0.008052669552670123, 0.028303012488197353, 0.02186428660502854, 0.026441585163807735, 0.02822685407870634, 0.2943724368909733, 0.022321682432793265, 0.021302228635561443, 0.030867903016051735, 0.030285803359877527, 0.06261972458268888, 0.015913687135909654, 0.007379268879269503, 0.01727763525911691, 0.012167895890118796, 0.03258970658970566, 0.010443420091568607, 0.008150873817540791, 0.066097625282801, 0.021451650544243757, 0.021944230666453176, 0.019153982505835405, 0.06171139080398012]"
