user_id,statuses_count,followers_count,friends_count,listed_count,favourites_count,favorite_count,retweet_count,days,posts_number_all,posts_number,text_length,reply_ratio,time,positive_words_count,negative_words_count,emoji_count,vad,antidepressant_words_count,depression_symptoms_count
409630525,22228,1609,1603,1,3776,0,0,27,114,4,9,0.11,"[0.018, 0.009, 0.053, 0.079, 0.105, 0.105, 0.053, 0.035, 0.07, 0.018, 0.009, 0.009, 0.026, 0.0, 0.026, 0.009, 0.018, 0.009, 0.009, 0.026, 0.009, 0.018, 0.053, 0.0]",76,66,0,"[1.87, 1.78, 1.78]",0,"[1.0, 3.0, 1.0, 1.0, 1.5, 1.5, 3.1, 0.5, 0.0]"
354082151,26128,132,439,8,7809,0,0,31,1695,55,17,0.62,"[0.071, 0.076, 0.055, 0.11, 0.06, 0.053, 0.025, 0.053, 0.021, 0.004, 0.002, 0.009, 0.007, 0.008, 0.016, 0.015, 0.023, 0.026, 0.049, 0.057, 0.078, 0.068, 0.046, 0.052]",2465,2429,0,"[3.8, 3.32, 3.39]",0,"[95.1, 33.1, 28.5, 2.0, 37.5, 23.0, 122.6, 41.0, 2.0]"
796599944459259904,5564,8,21,4,24,0,0,21,2885,137,14,0.0,"[0.044, 0.04, 0.043, 0.038, 0.041, 0.035, 0.053, 0.047, 0.036, 0.033, 0.033, 0.033, 0.035, 0.033, 0.038, 0.043, 0.042, 0.034, 0.07, 0.052, 0.056, 0.031, 0.05, 0.033]",2454,3856,0,"[2.02, 1.88, 1.85]",0,"[138.9, 50.0, 27.0, 0.0, 58.0, 48.5, 67.6, 51.5, 13.0]"
45000142,3219,481,375,1,1829,0,0,19,38,2,16,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.053, 0.026, 0.0, 0.0, 0.026, 0.105, 0.079, 0.0, 0.053, 0.0, 0.026, 0.053, 0.026, 0.0, 0.0, 0.053, 0.0]",37,40,3,"[4.52, 3.51, 3.81]",0,"[2.6, 0.0, 1.0, 0.0, 0.5, 1.0, 4.7, 0.5, 0.0]"
1666644266,43439,1306,491,30,6184,0,50,31,903,29,3,0.3,"[0.031, 0.032, 0.083, 0.069, 0.027, 0.021, 0.016, 0.03, 0.047, 0.071, 0.089, 0.089, 0.07, 0.065, 0.049, 0.022, 0.002, 0.003, 0.002, 0.018, 0.061, 0.029, 0.024, 0.018]",116,155,5,"[0.04, 0.05, 0.04]",0,"[4.6, 4.0, 2.5, 0.0, 1.5, 2.0, 4.6, 2.5, 0.0]"
1606383014,18337,183,224,9,25515,0,0,18,2645,147,8,0.67,"[0.038, 0.003, 0.0, 0.0, 0.0, 0.0, 0.005, 0.016, 0.036, 0.019, 0.024, 0.03, 0.02, 0.039, 0.062, 0.054, 0.044, 0.051, 0.058, 0.084, 0.133, 0.081, 0.12, 0.075]",1521,1888,0,"[1.91, 1.74, 1.75]",0,"[135.5, 38.5, 12.0, 1.0, 42.5, 15.5, 77.7, 34.5, 1.0]"
127285289,5691,197,272,8,5162,0,6,30,266,9,15,0.06,"[0.075, 0.045, 0.008, 0.015, 0.026, 0.004, 0.0, 0.0, 0.008, 0.0, 0.0, 0.008, 0.0, 0.053, 0.083, 0.034, 0.079, 0.064, 0.068, 0.056, 0.06, 0.064, 0.038, 0.102]",316,305,4,"[3.72, 3.28, 3.35]",0,"[21.1, 1.5, 5.0, 0.0, 6.5, 4.0, 12.2, 4.5, 0.0]"
524330332,26440,497,186,12,5285,0,14,31,2070,67,11,0.1,"[0.039, 0.021, 0.056, 0.038, 0.047, 0.039, 0.026, 0.053, 0.052, 0.028, 0.07, 0.017, 0.072, 0.107, 0.117, 0.089, 0.041, 0.044, 0.007, 0.004, 0.001, 0.0, 0.004, 0.015]",1910,1540,33,"[2.73, 2.28, 2.39]",0,"[79.2, 35.0, 19.6, 0.5, 31.5, 11.5, 79.9, 24.0, 0.0]"
746489439916957697,3096,3,2,0,3,0,0,31,459,15,7,0.0,"[0.052, 0.041, 0.033, 0.052, 0.035, 0.05, 0.048, 0.037, 0.035, 0.048, 0.033, 0.041, 0.05, 0.039, 0.054, 0.033, 0.031, 0.046, 0.041, 0.028, 0.044, 0.035, 0.017, 0.009]",380,168,0,"[3.67, 3.62, 3.23]",0,"[0.0, 0.0, 0.0, 0.0, 42.5, 0.0, 0.0, 21.5, 0.0]"
1609178257,15002,2808,2563,33,27335,0,37,29,200,7,12,0.35,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.165, 0.12, 0.055, 0.125, 0.125, 0.07, 0.06, 0.015, 0.01, 0.005, 0.0, 0.005, 0.075, 0.0, 0.0, 0.0, 0.0]",226,193,1,"[3.81, 3.09, 3.42]",0,"[4.5, 1.5, 4.5, 0.0, 5.0, 1.5, 10.2, 7.0, 0.0]"
2501692766,44230,896,1146,18,20067,1,0,31,1892,61,13,0.54,"[0.002, 0.001, 0.0, 0.0, 0.0, 0.004, 0.004, 0.024, 0.052, 0.082, 0.034, 0.038, 0.044, 0.039, 0.067, 0.07, 0.085, 0.072, 0.079, 0.082, 0.085, 0.05, 0.047, 0.023]",1414,1699,3,"[2.48, 2.21, 2.26]",0,"[53.8, 42.0, 40.5, 0.5, 43.0, 43.5, 102.5, 31.0, 1.0]"
616743335,28648,1491,1098,7,7931,0,152,30,1213,40,10,0.03,"[0.056, 0.049, 0.021, 0.015, 0.035, 0.024, 0.053, 0.087, 0.084, 0.086, 0.073, 0.101, 0.087, 0.073, 0.016, 0.049, 0.012, 0.0, 0.01, 0.001, 0.0, 0.012, 0.008, 0.023]",995,865,67,"[3.02, 2.55, 2.63]",0,"[54.7, 28.5, 9.0, 4.0, 38.5, 38.5, 50.8, 20.0, 0.0]"
322586855,41236,1457,741,5,3199,0,0,31,212,7,12,0.05,"[0.024, 0.075, 0.099, 0.042, 0.047, 0.108, 0.024, 0.061, 0.024, 0.005, 0.005, 0.0, 0.0, 0.033, 0.019, 0.009, 0.08, 0.071, 0.014, 0.005, 0.014, 0.019, 0.047, 0.028]",188,155,9,"[3.05, 2.52, 2.71]",0,"[13.8, 6.0, 0.5, 0.5, 2.5, 4.5, 8.2, 4.5, 0.0]"
