user_id,statuses_count,followers_count,friends_count,listed_count,favourites_count,favorite_count,retweet_count,days,posts_number_all,posts_number,text_length,reply_ratio,time,positive_words_count,negative_words_count,emoji_count,vad,antidepressant_words_count,depression_symptoms_count
285492808,1027,324,112,2,31,0,0,18,49,3,15,0.0,"[0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.0, 0.0, 0.122, 0.204, 0.163, 0.0, 0.02, 0.061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",66,61,0,"[2.29, 2.06, 1.99]",0,"[4.5, 0.0, 0.0, 1.0, 0.5, 1.0, 4.5, 1.0, 5.0]"
2930427079,622,28,96,0,1074,0,27,6,87,14,10,0.22,"[0.092, 0.023, 0.034, 0.034, 0.126, 0.414, 0.08, 0.08, 0.046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",52,92,1,"[2.14, 1.84, 1.93]",0,"[3.2, 0.0, 0.5, 0.0, 3.0, 0.0, 2.0, 0.5, 0.0]"
2282864113,15358,878,1353,21,11241,0,0,6,93,16,9,0.39,"[0.151, 0.0, 0.011, 0.011, 0.022, 0.022, 0.032, 0.032, 0.118, 0.065, 0.0, 0.032, 0.0, 0.043, 0.204, 0.14, 0.054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",52,46,0,"[2.35, 2.06, 2.09]",0,"[2.7, 3.0, 0.0, 0.0, 1.5, 1.0, 3.0, 4.0, 0.0]"
1613490914,18578,6305,4330,8,9604,0,112378,26,1637,63,11,0.22,"[0.098, 0.072, 0.062, 0.012, 0.001, 0.0, 0.0, 0.0, 0.0, 0.04, 0.071, 0.026, 0.015, 0.036, 0.021, 0.016, 0.028, 0.025, 0.016, 0.084, 0.093, 0.087, 0.067, 0.115]",1353,1432,94,"[3.23, 2.59, 2.74]",0,"[58.6, 23.0, 8.5, 0.5, 154.0, 14.5, 20.8, 15.0, 0.0]"
3036888171,8849,5093,4763,203,5064,0,1,24,395,16,16,0.2,"[0.081, 0.149, 0.051, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.025, 0.2, 0.068, 0.033, 0.086, 0.053, 0.0, 0.025, 0.068, 0.061, 0.033]",746,760,1,"[4.03, 3.44, 3.6]",0,"[28.5, 12.0, 2.5, 0.5, 15.5, 8.5, 31.3, 14.0, 67.0]"
2826865143,1595,559,937,3,829,0,6114,5,17,3,14,0.0,"[0.0, 0.0, 0.0, 0.0, 0.176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059, 0.0, 0.235, 0.235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",15,22,0,"[4.15, 4.11, 3.77]",0,"[0.2, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0]"
599531441,21967,2247,2959,26,3495,0,0,29,415,14,11,0.27,"[0.019, 0.002, 0.0, 0.002, 0.0, 0.002, 0.01, 0.005, 0.007, 0.055, 0.036, 0.034, 0.08, 0.06, 0.051, 0.087, 0.14, 0.058, 0.043, 0.084, 0.111, 0.027, 0.017, 0.0]",427,393,63,"[2.67, 2.19, 2.31]",0,"[8.1, 6.0, 1.5, 1.5, 11.0, 12.0, 10.2, 14.0, 5.0]"
200172782,283,76,365,4,0,0,0,30,56,2,19,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.286, 0.179, 0.0, 0.0]",139,72,0,"[0.64, 0.66, 0.6]",0,"[0.0, 0.0, 0.5, 0.0, 4.0, 0.0, 0.0, 0.5, 0.0]"
364086190,6156,904,312,14,5595,1,0,31,459,15,11,0.59,"[0.02, 0.076, 0.046, 0.057, 0.004, 0.011, 0.013, 0.068, 0.024, 0.026, 0.037, 0.013, 0.028, 0.065, 0.092, 0.054, 0.024, 0.028, 0.044, 0.024, 0.072, 0.033, 0.037, 0.037]",474,416,0,"[3.07, 2.4, 2.59]",0,"[12.5, 2.5, 2.0, 1.0, 13.0, 9.5, 40.5, 13.5, 0.0]"
898226880,5660,1411,2045,1,2953,0,0,18,189,10,9,0.25,"[0.074, 0.048, 0.032, 0.069, 0.058, 0.164, 0.079, 0.111, 0.0, 0.0, 0.0, 0.0, 0.005, 0.005, 0.037, 0.0, 0.0, 0.0, 0.021, 0.0, 0.063, 0.063, 0.074, 0.0]",153,103,2,"[3.21, 2.61, 2.79]",0,"[2.7, 3.5, 5.5, 0.0, 1.5, 1.5, 3.1, 4.5, 0.0]"
2967305460,400,37,68,15,1,0,0,26,53,2,15,0.02,"[0.0, 0.0, 0.057, 0.057, 0.057, 0.0, 0.0, 0.019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019, 0.17, 0.057, 0.019, 0.019, 0.0, 0.038, 0.0, 0.0]",53,52,0,"[2.44, 2.06, 2.16]",0,"[0.3, 0.5, 0.0, 0.0, 2.0, 0.0, 1.1, 2.0, 0.0]"
37288746,337,147,225,1,155,1,0,6,8,1,13,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,10,0,"[4.23, 4.56, 4.04]",0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2243710677,15525,5029,228,26,3057,13,21,28,290,10,10,0.37,"[0.003, 0.024, 0.0, 0.0, 0.003, 0.003, 0.062, 0.079, 0.017, 0.028, 0.028, 0.038, 0.021, 0.031, 0.01, 0.079, 0.097, 0.066, 0.107, 0.062, 0.062, 0.062, 0.01, 0.01]",50,61,4,"[0.63, 0.52, 0.55]",0,"[4.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.6, 1.5, 0.0]"
2394058423,8048,344,333,3,3059,9,1,28,284,10,12,0.57,"[0.021, 0.035, 0.109, 0.127, 0.021, 0.021, 0.0, 0.007, 0.06, 0.004, 0.0, 0.0, 0.021, 0.07, 0.088, 0.025, 0.046, 0.021, 0.085, 0.035, 0.046, 0.025, 0.011, 0.025]",270,338,0,"[1.75, 1.52, 1.52]",0,"[9.4, 3.0, 8.0, 0.0, 5.5, 2.5, 15.3, 5.0, 0.0]"
313011167,1936,172,478,4,202,1,1,11,20,2,20,0.3,"[0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.25, 0.0, 0.0]",41,32,0,"[7.73, 6.93, 7.2]",0,"[2.4, 1.0, 0.0, 0.0, 0.0, 1.5, 3.5, 0.5, 0.0]"
457897319,12884,323,550,0,5604,0,115419,30,324,11,12,0.05,"[0.062, 0.006, 0.049, 0.052, 0.052, 0.096, 0.031, 0.019, 0.003, 0.0, 0.0, 0.0, 0.0, 0.077, 0.056, 0.046, 0.031, 0.08, 0.102, 0.034, 0.028, 0.028, 0.049, 0.006]",262,354,0,"[3.17, 3.0, 2.95]",0,"[25.2, 16.5, 3.5, 0.5, 7.5, 4.5, 10.3, 5.5, 0.0]"
457931160,2812,120,71,1,6454,0,3,15,30,2,12,0.17,"[0.033, 0.033, 0.233, 0.0, 0.0, 0.033, 0.0, 0.0, 0.033, 0.0, 0.0, 0.0, 0.0, 0.033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.033, 0.033, 0.033, 0.0]",31,34,2,"[4.35, 3.73, 3.74]",0,"[0.1, 0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 1.0, 0.0]"
217589703,13576,119,76,8,36,0,0,20,76,4,15,0.63,"[0.039, 0.039, 0.026, 0.013, 0.079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013, 0.0, 0.013, 0.079, 0.0, 0.026, 0.132, 0.039, 0.0, 0.105, 0.053, 0.079]",74,90,0,"[3.73, 3.47, 3.46]",0,"[1.4, 0.0, 2.5, 0.0, 1.0, 0.0, 7.3, 1.0, 0.0]"
1148850734,6671,515,57,11,0,1,0,62,188,3,14,0.0,"[0.069, 0.117, 0.053, 0.005, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.149, 0.021, 0.027, 0.037, 0.011, 0.016, 0.016, 0.032, 0.021, 0.0, 0.0]",176,141,0,"[3.8, 3.03, 3.21]",0,"[5.1, 2.5, 2.0, 0.0, 2.5, 3.0, 7.3, 2.0, 0.0]"
25564259,1355,341,348,12,672,0,0,16,32,2,12,0.22,"[0.0, 0.062, 0.0, 0.094, 0.031, 0.031, 0.0, 0.0, 0.0, 0.0, 0.0, 0.062, 0.0, 0.0, 0.0, 0.031, 0.0, 0.062, 0.0, 0.0, 0.094, 0.0, 0.031, 0.0]",29,34,1,"[1.5, 1.09, 1.3]",0,"[1.2, 0.0, 0.0, 0.0, 2.5, 1.0, 2.5, 0.0, 0.0]"
1749682502,6356,60,181,0,985,0,0,31,351,11,13,0.04,"[0.063, 0.071, 0.034, 0.066, 0.085, 0.066, 0.063, 0.031, 0.0, 0.011, 0.028, 0.034, 0.011, 0.023, 0.011, 0.04, 0.034, 0.017, 0.023, 0.023, 0.023, 0.066, 0.054, 0.034]",298,226,11,"[3.72, 3.1, 3.21]",0,"[14.4, 9.0, 8.0, 1.5, 7.0, 1.0, 12.7, 6.0, 0.0]"
3063889840,1477,87,274,1,3161,0,1668,22,115,5,9,0.62,"[0.017, 0.052, 0.0, 0.0, 0.0, 0.035, 0.0, 0.035, 0.0, 0.0, 0.035, 0.183, 0.322, 0.035, 0.0, 0.0, 0.017, 0.0, 0.009, 0.026, 0.009, 0.0, 0.035, 0.0]",82,79,0,"[2.53, 2.3, 2.34]",0,"[1.7, 2.0, 1.5, 0.0, 1.5, 12.5, 0.2, 1.5, 0.0]"
472470045,8586,328,320,3,2565,0,1,22,201,9,13,0.03,"[0.05, 0.05, 0.055, 0.04, 0.015, 0.06, 0.0, 0.025, 0.0, 0.0, 0.0, 0.015, 0.04, 0.09, 0.045, 0.085, 0.045, 0.055, 0.065, 0.045, 0.015, 0.02, 0.065, 0.015]",185,183,9,"[3.5, 3.28, 3.25]",0,"[8.9, 9.5, 2.0, 2.5, 5.0, 3.5, 12.2, 6.0, 2.0]"
2833041178,1824,37,36,2,466,0,0,22,66,3,9,0.67,"[0.045, 0.03, 0.015, 0.015, 0.0, 0.045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015, 0.0, 0.091, 0.212, 0.015, 0.0, 0.03, 0.045, 0.0, 0.015, 0.091]",40,48,0,"[1.43, 1.12, 1.18]",0,"[0.1, 1.5, 0.0, 0.0, 3.0, 0.0, 1.6, 1.5, 0.0]"
439681004,2654,157,384,2,12847,3,0,29,178,6,9,0.41,"[0.056, 0.112, 0.084, 0.118, 0.096, 0.051, 0.022, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017, 0.017, 0.056, 0.028, 0.062, 0.011, 0.017, 0.022, 0.017, 0.028, 0.011]",127,115,4,"[2.5, 2.1, 2.18]",0,"[8.8, 2.0, 0.5, 0.0, 3.5, 0.5, 4.7, 2.5, 1.0]"
405554212,1975,30,18,2,2,0,0,3,12,4,17,0.0,"[0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.417, 0.0, 0.0, 0.0]",18,14,0,"[9.49, 7.37, 8.28]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.5, 0.0]"
151976628,35457,499,722,4,2960,0,0,7,18,3,18,0.28,"[0.0, 0.0, 0.167, 0.056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.111, 0.222, 0.056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,17,1,"[4.19, 3.36, 3.5]",0,"[0.2, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.5, 0.0]"
2330174677,8028,653,2155,118,0,78,2,30,386,13,11,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.194, 0.21, 0.21, 0.114, 0.041, 0.008, 0.01, 0.049, 0.044, 0.021, 0.005, 0.013, 0.003, 0.0, 0.0, 0.0, 0.0]",558,467,0,"[0.77, 0.67, 0.65]",0,"[17.2, 13.5, 9.0, 0.0, 6.5, 2.6, 42.0, 19.0, 0.0]"
2565061484,533,7,33,0,0,0,0,2,4,2,18,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,5,0,"[3.12, 4.05, 3.19]",0,"[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
