user_id,statuses_count,followers_count,friends_count,listed_count,favourites_count,favorite_count,retweet_count,days,posts_number_all,posts_number,text_length,reply_ratio,time,positive_words_count,negative_words_count,emoji_count,vad,antidepressant_words_count,depression_symptoms_count
285492808,1027,324,112,2,31,0,0,1,5,5,18,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,9,0,"[1.95, 2.61, 2.31]",0,"[2.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2930427079,622,28,96,0,1074,0,27,1,9,9,18,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16,15,0,"[3.32, 2.53, 2.73]",0,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2282864113,15358,878,1353,21,11241,0,0,1,10,10,13,0.4,"[0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5,7,0,"[2.27, 1.94, 2.02]",0,"[0.1, 0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0]"
1613490914,18578,6305,4330,8,9604,0,112378,5,164,33,12,0.16,"[0.049, 0.067, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043, 0.104, 0.006, 0.0, 0.012, 0.037, 0.037, 0.079, 0.091, 0.006, 0.171, 0.098, 0.079, 0.043, 0.018]",131,197,5,"[2.48, 2.02, 2.13]",0,"[7.7, 4.0, 1.0, 0.0, 17.5, 2.5, 1.0, 2.0, 0.0]"
3036888171,8849,5093,4763,203,5064,0,1,3,40,13,14,0.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.275, 0.1, 0.075, 0.1, 0.05, 0.0, 0.025, 0.0, 0.275, 0.025]",74,67,0,"[4.61, 3.76, 4.04]",0,"[4.2, 2.0, 1.0, 0.0, 0.5, 0.0, 9.0, 1.0, 3.0]"
2826865143,1595,559,937,3,829,0,6114,1,2,2,14,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,5,0,"[5.22, 6.48, 4.67]",0,"[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
599531441,21967,2247,2959,26,3495,0,0,5,42,8,9,0.14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.143, 0.024, 0.071, 0.071, 0.048, 0.0, 0.048, 0.024, 0.024, 0.071, 0.19, 0.143, 0.0, 0.024, 0.0]",35,44,2,"[2.27, 2.13, 2.03]",0,"[0.5, 0.0, 0.0, 0.5, 0.0, 1.0, 2.0, 1.0, 0.0]"
200172782,283,76,365,4,0,0,0,4,6,2,18,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.167, 0.167, 0.0, 0.0]",13,8,0,"[0.31, 0.76, 0.49]",0,"[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
364086190,6156,904,312,14,5595,1,0,8,46,6,11,0.59,"[0.065, 0.109, 0.043, 0.152, 0.0, 0.043, 0.0, 0.043, 0.0, 0.087, 0.043, 0.0, 0.022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.152, 0.0, 0.065, 0.0]",48,41,0,"[2.92, 2.46, 2.56]",0,"[0.5, 1.0, 0.5, 0.0, 1.5, 0.0, 1.3, 0.0, 0.0]"
898226880,5660,1411,2045,1,2953,0,0,5,19,4,10,0.37,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.053, 0.421, 0.0, 0.0]",19,17,0,"[2.81, 2.33, 2.43]",0,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.0, 0.5, 0.0]"
